year,fips,geo_title,10xx_naics_npo_employ,10xx_naics_npo_estab,10xx_naics_npo_salary,10xx_naics_npo_wages,10xx_naics_npo_weekly,10xx_naics_percent_npo,10xx_naics_priv_employ,10xx_naics_priv_estab,10xx_naics_priv_salary,10xx_naics_priv_wages,10xx_naics_priv_weekly,10xx_naics_wage_ratio_npo,61xx_naics_npo_employ,61xx_naics_npo_estab,61xx_naics_npo_salary,61xx_naics_npo_wages,61xx_naics_npo_weekly,61xx_naics_percent_npo,61xx_naics_priv_employ,61xx_naics_priv_estab,61xx_naics_priv_salary,61xx_naics_priv_wages,61xx_naics_priv_weekly,61xx_naics_wage_ratio_npo,62xx_naics_npo_employ,62xx_naics_npo_estab,62xx_naics_npo_salary,62xx_naics_npo_wages,62xx_naics_npo_weekly,62xx_naics_percent_npo,62xx_naics_priv_employ,62xx_naics_priv_estab,62xx_naics_priv_salary,62xx_naics_priv_wages,62xx_naics_priv_weekly,62xx_naics_wage_ratio_npo,71xx_naics_npo_employ,71xx_naics_npo_estab,71xx_naics_npo_salary,71xx_naics_npo_wages,71xx_naics_npo_weekly,71xx_naics_percent_npo,71xx_naics_priv_employ,71xx_naics_priv_estab,71xx_naics_priv_salary,71xx_naics_priv_wages,71xx_naics_priv_weekly,71xx_naics_wage_ratio_npo,81xx_naics_npo_employ,81xx_naics_npo_estab,81xx_naics_npo_salary,81xx_naics_npo_wages,81xx_naics_npo_weekly,81xx_naics_percent_npo,81xx_naics_priv_employ,81xx_naics_priv_estab,81xx_naics_priv_salary,81xx_naics_priv_wages,81xx_naics_priv_weekly,81xx_naics_wage_ratio_npo
2017,f-48471,"Walker County, Texas",1361,21,41158,56016,792,0.115524997877939,11781,997,32979,388523,634,1.28981510498276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48473,"Waller County, Texas",684,22,20799,14226,400,0.0574162679425837,11913,795,44505,530168,856,0.452673732779072,,,,,,,,,,,,,647,17,20503,13265,394,0.569041336851363,1137,49,21572,24529,415,0.891938921999391,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48477,"Washington County, Texas",405,20,51721,20947,995,0.0344798229184403,11746,896,38479,451971,740,1.36089988159453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48479,"Webb County, Texas",1395,63,38316,53451,737,0.0179158532826467,77864,5298,30858,2402742,593,1.24718442809713,,,,,,,,,,,,,752,35,40636,30558,781,0.0484411234217985,15524,527,27294,423726,525,1.52680819086981,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48481,"Wharton County, Texas",726,16,45683,33166,879,0.0572284408008829,12686,1095,37553,476378,722,1.23277653344847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48485,"Wichita County, Texas",,,,,,,,,,,,,,,,,,,,,,,,,4102,40,46373,190221,892,0.416954665582435,9838,387,39949,393038,768,1.31152780134623,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48491,"Williamson County, Texas",5927,146,46532,275797,895,0.0418857417458164,141504,10548,55959,7918363,1076,0.825474543196736,,,,,,,,,,,,,3311,78,49010,162273,943,0.189818265206673,17443,1288,45653,796313,878,1.09238827593893,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48499,"Wood County, Texas",798,22,39768,31735,765,0.0981429098511868,8131,821,36141,293855,695,1.11254720939992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-49005,"Cache County, Utah",,,,,,,,,,,,,,,,,,,,,,,,,2675,32,45570,121899,876,0.416472053557528,6423,414,35231,226285,678,1.63620695845751,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-49007,"Carbon County, Utah",356,21,28429,10121,547,0.0582460732984293,6112,522,40661,248512,782,0.686425536024725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
